Test,Typ,Tid_ms,AntalProdukter
1,"Kategori: Leksaker",255,397
2,"Sortering: price-desc",111,397
3,"Sortering: price-asc",175,397
4,"Sökning: LG",111,397
5,"Sortering: Standard",181,397
6,"Sökning: Adidas",112,397
7,"Kategori: Leksaker",183,397
8,"Sökning: Apple",114,397
9,"Kategori: Elektronik",188,399
10,"Sökning: Sony",116,399
11,"Sökning: Nike",110,399
12,"Kategori: Elektronik",186,399
13,"Sortering: price-desc",188,399
14,"Kategori: Sport",193,404
15,"Kategori: Alla",150,2000
16,"Sortering: price-asc",325,2000
17,"Sökning: H&M",113,2000
18,"Sökning: Adidas",111,2000
19,"Kategori: Sport",325,404
20,"Kategori: Leksaker",112,397
21,"Kategori: Alla",266,2000
22,"Kategori: Hem & Trädgård",141,408
23,"Kategori: Hem & Trädgård",186,408
24,"Sortering: Standard",195,408
25,"Sortering: Standard",187,408
26,"Sortering: price-asc",200,408
27,"Sökning: Nike",112,408
28,"Sortering: price-asc",184,408
29,"Sökning: Nike",112,408
30,"Kategori: Leksaker",189,397
31,"Kategori: Sport",153,404
32,"Sortering: name",196,404
33,"Sökning: Samsung",109,404
34,"Sortering: price-desc",187,404
35,"Sortering: price-desc",150,404
36,"Kategori: Hem & Trädgård",189,408
37,"Kategori: Alla",153,2000
38,"Sökning: LG",102,2000
39,"Kategori: Elektronik",319,399
40,"Kategori: Sport",114,404
41,"Sökning: Sport",113,404
42,"Sökning: Apple",109,404
43,"Sökning: LG",111,404
44,"Sortering: Standard",190,404
45,"Sökning: Sony",111,404
46,"Sökning: Sport",110,404
47,"Sökning: Samsung",101,404
48,"Sortering: price-asc",186,404
49,"Sortering: price-asc",143,404
50,"Sortering: price-desc",186,404
51,"Sökning: LG",106,404
52,"Sökning: Elektronik",113,404
53,"Sökning: Nike",113,404
54,"Sökning: Sport",101,404
55,"Sökning: Nike",111,404
56,"Sökning: Sony",103,404
57,"Kategori: Alla",259,2000
58,"Sortering: Standard",127,2000
59,"Sökning: Adidas",112,2000
60,"Sortering: name",315,2000
61,"Sortering: name",112,2000
62,"Kategori: Elektronik",312,399
63,"Sortering: price-desc",114,399
64,"Kategori: Elektronik",191,399
65,"Sortering: price-desc",103,399
66,"Sökning: LG",112,399
67,"Sökning: Elektronik",111,399
68,"Kategori: Elektronik",110,399
69,"Sortering: Standard",200,399
70,"Sortering: price-asc",153,399
71,"Sökning: Sport",112,399
72,"Sortering: price-asc",182,399
73,"Sortering: Standard",191,399
74,"Kategori: Kläder",197,392
75,"Kategori: Kläder",152,392
76,"Sökning: Sport",105,392
77,"Sökning: Samsung",110,392
78,"Sortering: name",191,392
79,"Sökning: Samsung",109,392
80,"Sortering: price-asc",192,392
81,"Kategori: Sport",157,404
82,"Sökning: IKEA",108,404
83,"Kategori: Leksaker",198,397
84,"Kategori: Leksaker",144,397
85,"Sortering: Standard",195,397
86,"Sortering: price-desc",151,397
87,"Kategori: Sport",188,404
88,"Sortering: price-asc",156,404
89,"Kategori: Hem & Trädgård",189,408
90,"Sortering: name",142,408
91,"Kategori: Kläder",188,392
92,"Sortering: name",143,392
93,"Sökning: Sony",110,392
94,"Kategori: Hem & Trädgård",187,408
95,"Sortering: Standard",149,408
96,"Kategori: Alla",255,2000
97,"Sökning: Elektronik",106,2000
98,"Kategori: Elektronik",318,399
99,"Sortering: price-desc",111,399
100,"Kategori: Kläder",186,392
101,"Sökning: Apple",111,392
102,"Kategori: Sport",192,404
103,"Sortering: name",156,404
104,"Kategori: Leksaker",188,397
105,"Sökning: Sport",109,397
106,"Sökning: Sony",110,397
107,"Kategori: Elektronik",193,399
108,"Sortering: name",147,399
109,"Sökning: LG",114,399
110,"Sökning: IKEA",102,399
111,"Sortering: price-asc",190,399
112,"Sökning: Adidas",112,399
113,"Sökning: Samsung",113,399
114,"Sortering: name",190,399
115,"Sortering: name",143,399
116,"Kategori: Sport",186,404
117,"Sortering: name",143,404
118,"Sortering: name",113,404
119,"Sökning: Elektronik",115,404
120,"Sortering: Standard",194,404
121,"Kategori: Sport",137,404
122,"Sortering: price-asc",186,404
123,"Kategori: Elektronik",142,399
124,"Sökning: LG",112,399
125,"Kategori: Elektronik",195,399
126,"Kategori: Alla",202,2000
127,"Sökning: H&M",116,2000
128,"Sökning: IKEA",108,2000
129,"Sortering: Standard",306,2000
130,"Sökning: Apple",101,2000
131,"Sortering: name",309,2000
132,"Sökning: Sport",101,2000
133,"Sökning: IKEA",111,2000
134,"Kategori: Leksaker",315,397
135,"Sortering: name",103,397
136,"Kategori: Leksaker",109,397
137,"Kategori: Leksaker",112,397
138,"Sökning: Apple",111,397
139,"Sortering: Standard",194,397
140,"Kategori: Leksaker",146,397
141,"Sortering: price-asc",186,397
142,"Kategori: Kläder",154,392
143,"Kategori: Elektronik",177,399
144,"Sökning: Samsung",106,399
145,"Kategori: Sport",190,404
146,"Sökning: Sony",111,404
147,"Sökning: LG",113,404
148,"Sortering: price-desc",191,404
149,"Sökning: Sony",108,404
150,"Sökning: Adidas",101,404
151,"Sortering: price-asc",187,404
152,"Sortering: price-desc",142,404
153,"Sortering: name",186,404
154,"Sortering: name",139,404
155,"Kategori: Hem & Trädgård",195,408
156,"Sökning: IKEA",112,408
157,"Sökning: LG",101,408
158,"Sökning: Elektronik",108,408
159,"Kategori: Kläder",194,392
160,"Kategori: Kläder",142,392
161,"Kategori: Sport",186,404
162,"Kategori: Kläder",151,392
163,"Kategori: Kläder",190,392
164,"Sökning: IKEA",110,392
165,"Sökning: Nike",112,392
166,"Sortering: name",115,392
167,"Kategori: Hem & Trädgård",192,408
168,"Kategori: Alla",152,2000
169,"Sökning: LG",102,2000
170,"Sortering: Standard",311,2000
171,"Sortering: price-desc",125,2000
172,"Kategori: Alla",292,2000
173,"Sökning: LG",113,2000
174,"Sökning: Elektronik",114,2000
175,"Kategori: Sport",313,404
176,"Sökning: Sport",114,404
177,"Sortering: name",187,404
178,"Kategori: Leksaker",154,397
179,"Kategori: Alla",260,2000
180,"Sortering: Standard",127,2000
181,"Sortering: price-asc",309,2000
182,"Sortering: price-desc",129,2000
183,"Sortering: price-asc",310,2000
184,"Sökning: IKEA",114,2000
185,"Sökning: IKEA",114,2000
186,"Sökning: Nike",111,2000
187,"Sökning: Samsung",116,2000
188,"Kategori: Sport",314,404
189,"Sortering: price-desc",119,404
190,"Sortering: price-desc",182,404
191,"Kategori: Hem & Trädgård",196,408
192,"Sortering: price-desc",181,408
193,"Sökning: Apple",114,408
194,"Sökning: LG",101,408
195,"Sortering: price-asc",198,408
196,"Kategori: Alla",146,2000
197,"Kategori: Alla",297,2000
198,"Kategori: Alla",111,2000
199,"Kategori: Alla",112,2000
200,"Sökning: Elektronik",102,2000
201,"Sortering: Standard",353,2000
202,"Sortering: Standard",1005,2000
203,"Sortering: name",994,2000
204,"Sökning: Elektronik",984,2000
205,"Kategori: Alla",1014,2000
206,"Kategori: Leksaker",997,397
207,"Kategori: Leksaker",1002,397
208,"Sökning: Nike",1003,397
209,"Sökning: Sport",1008,397
210,"Sortering: Standard",993,397
