Version;Produkter;Korning;LCP_s;TBT_ms;SpeedIndex_s
Vanilla;500;1;0,34;0;0,341
Vanilla;500;2;0,34;0;0,348
Vanilla;500;3;0,34;0;0,34
Vanilla;500;4;0,34;0;0,346
Vanilla;500;5;0,34;0;0,343
Vanilla;500;6;0,34;0;0,34
Vanilla;500;7;0,34;0;0,349
Vanilla;500;8;0,34;0;0,343
Vanilla;500;9;0,34;0;0,341
Vanilla;500;10;0,34;0;0,345
Vanilla;500;11;0,34;0;0,345
Vanilla;500;12;0,34;0;0,345
Vanilla;500;13;0,34;0;0,342
Vanilla;500;14;0,34;0;0,343
Vanilla;500;15;0,34;0;0,345
Vanilla;500;16;0,34;0;0,342
Vanilla;500;17;0,34;0;0,346
Vanilla;500;18;0,34;0;0,348
Vanilla;500;19;0,34;0;0,341
Vanilla;500;20;0,34;0;0,341
Vanilla;500;21;0,34;0;0,345
Vanilla;500;22;0,34;0;0,342
Vanilla;500;23;0,34;0;0,348
Vanilla;500;24;0,34;0;0,346
Vanilla;500;25;0,34;0;0,339
Vanilla;500;26;0,34;0;0,346
Vanilla;500;27;0,34;0;0,339
Vanilla;500;28;0,34;0;0,344
Vanilla;500;29;0,34;0;0,345
Vanilla;500;30;0,34;0;0,346
Vanilla;500;31;0,34;0;0,342
Vanilla;500;32;0,34;0;0,341
Vanilla;500;33;0,34;0;0,348
Vanilla;500;34;0,34;0;0,345
Vanilla;500;35;0,34;0;0,343
Vanilla;500;36;0,34;0;0,34
Vanilla;500;37;0,34;0;0,35
Vanilla;500;38;0,34;0;0,343
Vanilla;500;39;0,34;0;0,34
Vanilla;500;40;0,34;0;0,34
Vanilla;500;41;0,34;0;0,345
Vanilla;500;42;0,34;0;0,341
Vanilla;500;43;0,34;0;0,344
Vanilla;500;44;0,34;0;0,346
Vanilla;500;45;0,34;0;0,344
Vanilla;500;46;0,34;0;0,346
Vanilla;500;47;0,34;0;0,346
Vanilla;500;48;0,34;0;0,346
Vanilla;500;49;0,34;0;0,343
Vanilla;500;50;0,34;0;0,341
Vanilla;500;51;0,34;0;0,34
Vanilla;500;52;0,34;0;0,343
Vanilla;500;53;0,34;0;0,34
Vanilla;500;54;0,34;0;0,347
Vanilla;500;55;0,34;0;0,345
Vanilla;500;56;0,34;0;0,348
Vanilla;500;57;0,34;0;0,34
Vanilla;500;58;0,34;0;0,34
Vanilla;500;59;0,34;0;0,343
Vanilla;500;60;0,34;0;0,342
Vanilla;500;61;0,34;0;0,343
Vanilla;500;62;0,34;0;0,342
Vanilla;500;63;0,34;0;0,342
Vanilla;500;64;0,34;0;0,34
Vanilla;500;65;0,34;0;0,346
Vanilla;500;66;0,34;0;0,339
Vanilla;500;67;0,34;0;0,342
Vanilla;500;68;0,34;0;0,347
Vanilla;500;69;0,34;0;0,341
Vanilla;500;70;0,34;0;0,347
Vanilla;500;71;0,34;0;0,343
Vanilla;500;72;0,34;0;0,344
Vanilla;500;73;0,34;0;0,343
Vanilla;500;74;0,34;0;0,342
Vanilla;500;75;0,34;0;0,341
Vanilla;500;76;0,34;0;0,342
Vanilla;500;77;0,34;0;0,349
Vanilla;500;78;0,34;0;0,345
Vanilla;500;79;0,34;0;0,344
Vanilla;500;80;0,34;0;0,345
Vanilla;500;81;0,34;0;0,345
Vanilla;500;82;0,34;0;0,345
Vanilla;500;83;0,34;0;0,347
Vanilla;500;84;0,34;0;0,346
Vanilla;500;85;0,34;0;0,339
Vanilla;500;86;0,34;0;0,34
Vanilla;500;87;0,34;0;0,35
Vanilla;500;88;0,34;0;0,345
Vanilla;500;89;0,34;0;0,349
Vanilla;500;90;0,34;0;0,34
Vanilla;500;91;0,34;0;0,348
Vanilla;500;92;0,34;0;0,339
Vanilla;500;93;0,34;0;0,342
Vanilla;500;94;0,34;0;0,347
Vanilla;500;95;0,34;0;0,345
Vanilla;500;96;0,34;0;0,344
Vanilla;500;97;0,34;0;0,345
Vanilla;500;98;0,34;0;0,345
Vanilla;500;99;0,34;0;0,346
Vanilla;500;100;0,34;0;0,342
Vanilla;1000;1;0,34;0;0,346
Vanilla;1000;2;0,34;0;0,339
Vanilla;1000;3;0,34;0;0,345
Vanilla;1000;4;0,34;0;0,347
Vanilla;1000;5;0,34;0;0,347
Vanilla;1000;6;0,34;0;0,343
Vanilla;1000;7;0,34;0;0,339
Vanilla;1000;8;0,34;0;0,348
Vanilla;1000;9;0,34;0;0,339
Vanilla;1000;10;0,34;0;0,338
Vanilla;1000;11;0,34;0;0,346
Vanilla;1000;12;0,34;0;0,341
Vanilla;1000;13;0,34;0;0,344
Vanilla;1000;14;0,34;0;0,34
Vanilla;1000;15;0,34;0;0,341
Vanilla;1000;16;0,34;0;0,346
Vanilla;1000;17;0,34;0;0,344
Vanilla;1000;18;0,34;0;0,344
Vanilla;1000;19;0,34;0;0,342
Vanilla;1000;20;0,34;0;0,34
Vanilla;1000;21;0,34;0;0,344
Vanilla;1000;22;0,34;0;0,345
Vanilla;1000;23;0,34;0;0,343
Vanilla;1000;24;0,34;0;0,343
Vanilla;1000;25;0,34;0;0,344
Vanilla;1000;26;0,34;0;0,341
Vanilla;1000;27;0,34;0;0,348
Vanilla;1000;28;0,34;0;0,345
Vanilla;1000;29;0,34;0;0,339
Vanilla;1000;30;0,34;0;0,342
Vanilla;1000;31;0,34;0;0,343
Vanilla;1000;32;0,34;0;0,348
Vanilla;1000;33;0,34;0;0,343
