Korning,Vanilla_LCP_s,React_LCP_s,Vanilla_TBT_ms,React_TBT_ms,Vanilla_SpeedIndex_s,React_SpeedIndex_s
1,0.34,1.45,0,9.5,0.341,0.886
2,0.34,1.489,0,20,0.348,0.885
3,0.34,1.489,0,14,0.34,0.885
4,0.34,1.448,0,5.5,0.346,0.884
5,0.34,1.489,0,15,0.343,0.885
6,0.34,1.489,0,12,0.34,0.885
7,0.34,1.488,0,11,0.349,0.884
8,0.34,1.45,0,4.5,0.343,0.886
9,0.34,1.487,0,10,0.341,0.884
10,0.34,1.488,0,11,0.345,0.885
11,0.34,1.487,0,15,0.345,0.884
12,0.34,1.489,0,8,0.345,0.885
13,0.34,1.488,0,12,0.342,0.885
14,0.34,1.489,0,26,0.343,0.885
15,0.34,1.449,0,6.5,0.345,0.885
16,0.34,1.451,0,7,0.342,0.886
17,0.34,1.448,0,8.5,0.346,0.884
18,0.34,1.489,0,15,0.348,0.885
19,0.34,1.489,0,12,0.341,0.885
20,0.34,1.491,0,11.9,0.341,0.886
21,0.34,1.448,0,6,0.345,0.885
22,0.34,1.487,0,14,0.342,0.884
23,0.34,1.448,0,8.5,0.348,0.885
24,0.34,1.489,0,10,0.346,0.885
25,0.34,1.447,0,6,0.339,0.884
26,0.34,1.488,0,10,0.346,0.884
27,0.34,1.449,0,7,0.339,0.886
28,0.34,1.449,0,5,0.344,0.885
29,0.34,1.491,0,9.9,0.345,0.886
30,0.34,1.488,0,11,0.346,0.885
31,0.34,1.488,0,11,0.342,0.884
32,0.34,1.49,0,10.9,0.341,0.886
33,0.34,1.488,0,9,0.348,0.885
34,0.34,1.488,0,32,0.345,0.885
35,0.34,1.448,0,5.5,0.343,0.885
36,0.34,1.488,0,15,0.34,0.885
37,0.34,1.449,0,4.5,0.35,0.885
38,0.34,1.487,0,18,0.343,0.883
39,0.34,1.45,0,5.5,0.34,0.886
40,0.34,1.45,0,4,0.34,0.886
41,0.34,1.489,0,13,0.345,0.885
42,0.34,1.488,0,10,0.341,0.885
43,0.34,1.488,0,10,0.344,0.884
44,0.34,1.488,0,10,0.346,0.884
45,0.34,1.49,0,11.0,0.344,0.886
46,0.34,1.489,0,9,0.346,0.885
47,0.34,1.488,0,9,0.346,0.885
48,0.34,1.488,0,15,0.346,0.885
49,0.34,1.489,0,11,0.343,0.885
50,0.34,1.489,0,8,0.341,0.886
51,0.34,1.488,0,8,0.34,0.884
52,0.34,1.487,0,11,0.343,0.884
53,0.34,1.488,0,11,0.34,0.885
54,0.34,1.489,0,11,0.347,0.885
55,0.34,1.449,0,6.5,0.345,0.885
56,0.34,1.489,0,9,0.348,0.885
57,0.34,1.489,0,12,0.34,0.885
58,0.34,1.488,0,10,0.34,0.885
59,0.34,1.489,0,10,0.343,0.885
60,0.34,1.489,0,9,0.342,0.885
61,0.34,1.49,0,7.0,0.343,0.886
62,0.34,1.49,0,8,0.342,0.886
63,0.34,1.487,0,9,0.342,0.884
64,0.34,1.488,0,8,0.34,0.884
65,0.34,1.488,0,12,0.346,0.884
66,0.34,1.489,0,11,0.339,0.885
67,0.34,1.489,0,8,0.342,0.885
68,0.34,1.449,0,4,0.347,0.885
69,0.34,1.488,0,9,0.341,0.884
70,0.34,1.488,0,10,0.347,0.884
71,0.34,1.488,0,8,0.343,0.885
72,0.34,1.487,0,8,0.344,0.884
73,0.34,1.488,0,10,0.343,0.885
74,0.34,1.447,0,6,0.342,0.884
75,0.34,1.488,0,8,0.341,0.884
76,0.34,1.488,0,9,0.342,0.885
77,0.34,1.488,0,11,0.349,0.884
78,0.34,1.488,0,9,0.345,0.884
79,0.34,1.488,0,10,0.344,0.885
80,0.34,1.488,0,11,0.345,0.885
81,0.34,1.488,0,8,0.345,0.885
82,0.34,1.488,0,9,0.345,0.884
83,0.34,1.488,0,9,0.347,0.884
84,0.34,1.448,0,5,0.346,0.884
85,0.34,1.49,0,9,0.339,0.886
86,0.34,1.488,0,11,0.34,0.884
87,0.34,1.488,0,11,0.35,0.885
88,0.34,1.448,0,4,0.345,0.885
89,0.34,1.489,0,8,0.349,0.885
90,0.34,1.448,0,5.5,0.34,0.884
91,0.34,1.489,0,11,0.348,0.885
92,0.34,1.49,0,9,0.339,0.886
93,0.34,1.488,0,8,0.342,0.885
94,0.34,1.49,0,11,0.347,0.886
95,0.34,1.487,0,14,0.345,0.884
96,0.34,1.487,0,13,0.344,0.884
97,0.34,1.487,0,9,0.345,0.884
98,0.34,1.488,0,11,0.345,0.885
99,0.34,1.489,0,9,0.346,0.885
100,0.34,1.487,0,17,0.342,0.884
