Test,Typ,Tid_ms,AntalProdukter
1,"Sortering: name",115,2000
2,"Sökning: H&M",115,238
3,"Sökning: Nike",114,261
4,"Sökning: Sony",115,267
5,"Sortering: price-desc",118,2000
6,"Sökning: Elektronik",115,399
7,"Sortering: Standard",121,2000
8,"Kategori: Sport",112,404
9,"Kategori: Kläder",114,392
10,"Kategori: Alla",115,2000
11,"Sökning: LG",117,248
12,"Sökning: Sport",108,404
13,"Kategori: Kläder",111,392
14,"Sökning: H&M",110,238
15,"Sortering: Standard",128,2000
16,"Kategori: Leksaker",124,397
17,"Kategori: Kläder",112,392
18,"Sökning: Samsung",117,245
19,"Kategori: Elektronik",114,399
20,"Kategori: Kläder",113,392
21,"Sortering: price-desc",121,2000
22,"Kategori: Elektronik",119,399
23,"Kategori: Alla",126,2000
24,"Sortering: Standard",120,2000
25,"Sortering: price-asc",122,2000
26,"Kategori: Hem & Trädgård",114,408
27,"Sökning: Nike",114,261
28,"Kategori: Alla",119,2000
29,"Kategori: Elektronik",117,399
30,"Kategori: Hem & Trädgård",117,408
31,"Kategori: Leksaker",111,397
32,"Kategori: Sport",115,404
33,"Kategori: Leksaker",111,397
34,"Sortering: price-asc",121,2000
35,"Kategori: Kläder",117,392
36,"Kategori: Elektronik",113,399
37,"Sökning: Elektronik",110,399
38,"Sökning: Sport",113,404
39,"Sortering: Standard",116,2000
40,"Kategori: Elektronik",117,399
41,"Sortering: name",132,2000
42,"Sökning: Nike",117,261
43,"Sökning: Apple",114,223
44,"Sökning: IKEA",108,241
45,"Sökning: IKEA",113,241
46,"Kategori: Elektronik",113,399
47,"Kategori: Sport",114,404
48,"Sökning: LG",113,248
49,"Sortering: price-desc",124,2000
50,"Sökning: Apple",118,223
51,"Sökning: Samsung",111,245
52,"Sortering: name",119,2000
53,"Sökning: Nike",111,261
54,"Kategori: Kläder",115,392
55,"Sökning: Sony",113,267
56,"Sökning: Apple",110,223
57,"Sortering: Standard",116,2000
58,"Sökning: Sport",114,404
59,"Sortering: price-asc",115,2000
60,"Kategori: Hem & Trädgård",114,408
61,"Kategori: Elektronik",120,399
62,"Sortering: Standard",120,2000
63,"Sökning: LG",114,248
64,"Sökning: Apple",116,223
65,"Sökning: H&M",113,238
66,"Sortering: name",118,2000
67,"Kategori: Hem & Trädgård",122,408
